name,role,company,domain,category,notes,priority
Jonathan Arena,Co-Founder,New Generation,new-gen.ai,consumer-shopping,Conversational AI shopping platform turning brand catalogs into AI-native storefronts,1
Adam Behrens,Co-Founder,New Generation,new-gen.ai,consumer-shopping,,2
Jaden Levitt,Team,New Generation,new-gen.ai,consumer-shopping,,3
Marcus Brown,Team,New Generation,new-gen.ai,consumer-shopping,,4
Lisa Wong,Team,New Generation,new-gen.ai,consumer-shopping,,5
Seunghyun Lee,CEO,Enhans,enhans.ai,consumer-shopping,Vertical commerce AI agents with Large Action Model for autonomous e-commerce decisions,1
Young Chung,Team,Enhans,enhans.ai,consumer-shopping,,2
Sukyeon Jung,Team,Enhans,enhans.ai,consumer-shopping,,3
JongWhi Kim,Team,Enhans,enhans.ai,consumer-shopping,,4
Jaewoong Lee,Team,Enhans,enhans.ai,consumer-shopping,,5
Shaurya Gupta,Co-Founder & CEO,Wishlink,wishlink.com,consumer-shopping,Creator-led commerce platform connecting creators with brands for monetization,1
Chandan Yadav,Team,Wishlink,wishlink.com,consumer-shopping,,2
Divyansh Ameta,Team,Wishlink,wishlink.com,consumer-shopping,,3
Utkarsh Srivastava,Team,Wishlink,wishlink.com,consumer-shopping,,4
Arthur Leopold,CEO & Co-Founder,Agentio,agentio.com,consumer-shopping,AI-native platform automating YouTube creator content and brand integrations,1
Jonathan Meyers,Team,Agentio,agentio.com,consumer-shopping,,2
Abbie Sheppard,VP Creator Strategy,Agentio,agentio.com,consumer-shopping,,3
Hilary Anne Hyman,Head of Sales,Agentio,agentio.com,consumer-shopping,,4
Kristi O'Brien,GM Brand Platform / Head of Partnerships,LTK,shopltk.com,consumer-shopping,Global creator commerce platform; $5B+ annual retail sales; 40M monthly shoppers,1
Baxter Box,Co-Founder & CEO,LTK,shopltk.com,consumer-shopping,Co-founder (with Amber Venz Box) — per user note skip founder,2
Ty Amell,Chief Technology Officer,LTK,shopltk.com,consumer-shopping,,3
Stephanie Sandbo,Chief Revenue Officer,LTK,shopltk.com,consumer-shopping,,4
Gary Kanazawa,"VP Product, Ad Platform",LTK,shopltk.com,consumer-shopping,,5
Ronak Trivedi,Co-Founder & CEO,Pietra,pietrastudio.com,consumer-shopping,AI Commerce OS for creators; automated sourcing/fulfillment/scaling,1
Pan Pandas,Team,Pietra,pietrastudio.com,consumer-shopping,,2
Tala Akhavan,Team,Pietra,pietrastudio.com,consumer-shopping,,3
Morteza Ibrahimi,Co-Founder & CEO,Qeen.ai,qeen.ai,consumer-shopping,Autonomous AI agents for e-commerce (content/marketing/conversational sales),1
Ahmad Khwileh,Team,Qeen.ai,qeen.ai,consumer-shopping,,2
Dina Alsamhan,Team,Qeen.ai,qeen.ai,consumer-shopping,,3
Marius Meiners,Co-Founder & CEO,Peec AI,peec.ai,consumer-shopping,AI search analytics tracking brand visibility across ChatGPT/Perplexity/Gemini ($21M),1
Tobias Siwonia,Co-Founder,Peec AI,peec.ai,consumer-shopping,,2
Daniel Drabo,Co-Founder,Peec AI,peec.ai,consumer-shopping,,3
Kaushik Mahorker,Founder & CEO,Wildcard,wild-card.ai,consumer-shopping,YC W25; API gateway for AI agents to discover and use APIs for shopping/e-commerce,1
Yagnya Patel,Co-Founder & CTO,Wildcard,wild-card.ai,consumer-shopping,,2
Masa Shimizu,Founder & CEO,Omakase.ai,omakase.ai,consumer-shopping,Voice AI agent / personal shopper for ecommerce,1
Or Perlman,Chief Technology Officer,Omakase.ai,omakase.ai,consumer-shopping,,2
Kevin Chandra,Co-Founder & CEO,The Prompting Company,promptingcompany.com,consumer-shopping,AI product discovery platform helping brands get visibility in ChatGPT and other LLMs ($6.5M),1
Albert Putra Purnama,Co-Founder & CTO,The Prompting Company,promptingcompany.com,consumer-shopping,,2
Michelle Marcelline,Co-Founder,The Prompting Company,promptingcompany.com,consumer-shopping,,3
Nicolás Camhi,Co-Founder & CEO,Vambe,vambe.ai,consumer-shopping,AI conversational commerce for Latin America; $2.5M ARR in first year ($14M Series A),1
Matias Perez Pefaur,Co-Founder & Chief AI Officer,Vambe,vambe.ai,consumer-shopping,,2
Diego Chahuan,Co-Founder & CTO,Vambe,vambe.ai,consumer-shopping,,3
Chi Zhang,CEO & Co-Founder,Kite,gokite.ai,consumer-shopping,Blockchain infrastructure for AI shopping agents with identity/payment layer ($18M),1
Scott Shi,Co-Founder & CTO,Kite,gokite.ai,consumer-shopping,,2
Yusuke Muraoka,Head of Product,Kite,gokite.ai,consumer-shopping,,3
Kevin Kahn,Co-Founder & CEO,Albatross AI,usealbatross.ai,consumer-shopping,Real-time product discovery using sequential embedding models on live behavioral events ($12.5M),1
Matteo Ruffini,Co-Founder & Chief Strategy Officer,Albatross AI,usealbatross.ai,consumer-shopping,,2
Johan Boissard,Co-Founder & CTO,Albatross AI,usealbatross.ai,consumer-shopping,,3
Anastasia Georgievskaya,Co-Founder & CEO,Haut.AI,haut.ai,consumer-shopping,AI skincare/beauty recommendation with SkinGPT generative AI,1
Konstantin Kiselev,Co-Founder & CTO,Haut.AI,haut.ai,consumer-shopping,,2
Dinar Sharafutdinov,Deep Learning Engineer,Haut.AI,haut.ai,consumer-shopping,,3
Valeriya Bezrukova,VP of Product,Constructor,constructor.io,brand-side,AI-powered ecommerce search and product discovery platform,1
Rawson Daniel,Chief Operating Officer,Constructor,constructor.io,brand-side,,2
Dan McCormick,Founder & Chief Information Security Officer,Constructor,constructor.io,brand-side,,3
Michael Hunigan,VP of Product AI,Capacity,capacity.com,brand-side,AI-powered customer support automation; $92.6M+ funding,1
David Karandish,Founder & CEO,Capacity,capacity.com,brand-side,,2
Chris Sims,Co-Founder,Capacity,capacity.com,brand-side,,3
Aniket Deosthali,CEO & Co-Founder,Envive,envive.ai,brand-side,Series A ($15M); commerce AI building self-improving agents for online retail,1
Sameer Singh,Co-Founder & CTO,Envive,envive.ai,brand-side,,2
Iz Beltagy,Co-Founder & Chief Scientist,Envive,envive.ai,brand-side,,3
Matthew Peters,Co-Founder & Chief Architect,Envive,envive.ai,brand-side,,4
Paul Meinshausen,CEO & Co-Founder,Aampe,aampe.com,brand-side,Reinforcement learning infrastructure for mobile CRM and marketing,1
Kate Field,Co-Founder & COO,Aampe,aampe.com,brand-side,,2
Schaun Wheeler,Co-Founder,Aampe,aampe.com,brand-side,,3
Sami Abboud,Co-Founder & CTO,Aampe,aampe.com,brand-side,,4
Diaz Nesamoney,Founder & CEO,DaVinci Commerce,davincicommerce.ai,brand-side,Accenture-backed agentic AI commerce platform; mature stage,1
Jaimie Villacarlos,Chief Growth and Partnerships Officer,DaVinci Commerce,davincicommerce.ai,brand-side,,2
Taran Singh,Chief Technology Officer,DaVinci Commerce,davincicommerce.ai,brand-side,,3
Aku Srikanth,VP AI Strategy,DaVinci Commerce,davincicommerce.ai,brand-side,,4
Rushanthini Subramaniam,SVP Global Customer Success,DaVinci Commerce,davincicommerce.ai,brand-side,,5
Yoav Oz,CEO & Co-Founder,Rep AI,hellorep.ai,brand-side,Conversational commerce platform for ecommerce / Shopify,1
Shauli Mizrahi,Co-Founder & CTO,Rep AI,hellorep.ai,brand-side,,2
Todd Famous,Chief Product Officer,Crescendo,crescendo.ai,brand-side,AI customer service platform with commerce focus; multilingual full-checkout,1
Matt Price,Co-Founder & CEO,Crescendo,crescendo.ai,brand-side,,2
Anand Chandrasekaran,Founder & President,Crescendo,crescendo.ai,brand-side,,3
Slava Zhakov,Co-Founder & CTO,Crescendo,crescendo.ai,brand-side,,4
Marcin Stoll,Chief Product Officer,Tidio,tidio.com,brand-side,AI customer support platform; Lyro shopping agent for Shopify SMB,1
Tytus Gołas,Founder & CEO,Tidio,tidio.com,brand-side,,2
Mateusz Marszałek,Head of Engineering,Tidio,tidio.com,brand-side,,3
Krzysztof Spyt,Chief Financial Officer,Tidio,tidio.com,brand-side,,4
Ashu Dubey,CEO & Co-Founder,Alhena AI,alhena.ai,brand-side,Hallucination-free agentic platform; AI shopping assistants for compliance-sensitive retail,1
Nagendra Kumar,Co-Founder & CTO,Alhena AI,alhena.ai,brand-side,,2
Kimberly Huynh Namnath,Head of Partnerships,Alhena AI,alhena.ai,brand-side,,3
Tatiana Staffaroni,Head of Marketing,Alhena AI,alhena.ai,brand-side,,4
Benoit Patra,Chief Technology Officer,iAdvize,iadvize.com,brand-side,Mature European conversational commerce platform,1
Mike de la Cruz,President & Chief Strategy Officer,iAdvize,iadvize.com,brand-side,,2
Nicolas de Rosen,CEO North America,iAdvize,iadvize.com,brand-side,,3
Julien Hervouet,Founder & CEO,iAdvize,iadvize.com,brand-side,,4
Vlad Keil,Co-Founder & CEO,Lio,lio.ai,b2b-procurement,AI multi-agent system for enterprise procurement ($30M Series A from a16z),1
Till Wagner,Co-Founder & COO,Lio,lio.ai,b2b-procurement,,2
Lukas Heinzmann,Co-Founder & CTO,Lio,lio.ai,b2b-procurement,,3
Robin Van Aeken,Co-Founder & CEO,Magentic,magentic.com,b2b-procurement,AI agents for supply chain savings (Sequoia + Westly Group; €4.7M seed),1
Odhran O'Donoghue,Co-Founder & CTO,Magentic,magentic.com,b2b-procurement,,2
André Petry,Co-Founder & CEO,Tacto,tacto.ai,b2b-procurement,Industrial procurement intelligence (€50M Series A from Sequoia + Index),1
Johannes Groll,Co-Founder & CPO,Tacto,tacto.ai,b2b-procurement,,2
Bryan Rosenstein,Co-Founder & Head of Operations,Levelpath,levelpath.com,b2b-procurement,AI-native procurement; Series B $55M+; targeting non-founder per user rule,1
Raimonds Samofals,Co-Founder & Head of Engineering,Levelpath,levelpath.com,b2b-procurement,,2
Alex Yakubovich,Co-Founder & CEO,Levelpath,levelpath.com,b2b-procurement,,3
Kaspar Korjus,Co-Founder & CEO,Pactum AI,pactum.com,b2b-procurement,Series C $54M+; autonomous supplier negotiation; 50+ Fortune 2000 clients,1
Kristjan Korjus,Co-Founder & Chief Scientist,Pactum AI,pactum.com,b2b-procurement,,2
Layla Kidwai,Chief People Officer,Pactum AI,pactum.com,b2b-procurement,,3
Noam Shakuri,Co-Founder & CEO,Evolinq,evolinq.io,b2b-procurement,Early stage; AI procurement agents for direct buyers,1
Or Feldman,Co-Founder & CTO,Evolinq,evolinq.io,b2b-procurement,,2
Niels Tonsen,Co-Founder & CEO,Turian,turian.ai,b2b-procurement,Early stage; AI agents for B2B order management and procurement,1
Tilmann Roth,Co-Founder & CRO,Turian,turian.ai,b2b-procurement,,2
Dominik Picker-Huchzermeyer,Co-Founder & Managing Director,Turian,turian.ai,b2b-procurement,,3
Lu Cheng,Co-Founder & CTO,Zip,ziphq.com,b2b-procurement,AI procurement orchestration; 50+ agents; $190M Series D — non-founder per user rule,1
Felix Meng,Co-Founder & VP,Zip,ziphq.com,b2b-procurement,,2
Rujul Zaparde,Co-Founder & CEO,Zip,ziphq.com,b2b-procurement,,3
Ben Freeman,Co-Founder & CEO,Omnea,omnea.co,b2b-procurement,AI-first procurement; Series B $50M (total $75M),1
Ben Allen,Co-Founder & CTO,Omnea,omnea.co,b2b-procurement,,2
Ashil Shah,VP Business Development,Omnea,omnea.co,b2b-procurement,,3
Zachary Garippa,Co-Founder & CEO,Order.co,order.co,b2b-procurement,Mid-stage; $96.7M raised across 7 rounds; founded 2016,1
Tom Jaklitsch,Co-Founder & CTO,Order.co,order.co,b2b-procurement,,2
Matt Garippa,Co-Founder & Chief Business Officer,Order.co,order.co,b2b-procurement,,3
James McGillicuddy,CEO & Co-Founder,BRM,brm.ai,procurement-orchestration,Series A ($21.6M); AI-powered vendor management for mid-market,1
Fabian Frank,CTO & Co-Founder,BRM,brm.ai,procurement-orchestration,,2
Michael Do,Product/Engineering,BRM,brm.ai,procurement-orchestration,,3
Connor Wen,Product/Engineering,BRM,brm.ai,procurement-orchestration,,4
Sudhir Bhojwani,CEO & Co-Founder,Oro Labs,orolabs.ai,procurement-orchestration,Series C ($100M); agentic procurement orchestration,1
Lalitha Rajagopalan,Co-Founder & Head of Product Strategy,Oro Labs,orolabs.ai,procurement-orchestration,,2
Yuan Tung,CTO & Co-Founder,Oro Labs,orolabs.ai,procurement-orchestration,,3
Gaurav Baheti,CEO & Co-Founder,Procol,procol.ai,procurement-orchestration,India-focused (~$20B+ GMV); Blume + Peak XV backed,1
Sumit Mendiratta,Co-Founder & CTO,Procol,procol.ai,procurement-orchestration,,2
Dipesh Kothari,Leadership / Product,Procol,procol.ai,procurement-orchestration,,3
Naveen Diwan,Leadership / Operations,Procol,procol.ai,procurement-orchestration,,4
Deepakshi Gulati,Leadership / Growth,Procol,procol.ai,procurement-orchestration,,5
Kevin Frechette,CEO & Co-Founder,Fairmarkit,fairmarkit.com,procurement-orchestration,Founded 2017; Inc 5000 ranked; autonomous tail-spend sourcing,1
Victor Kushch,CTO & Co-Founder,Fairmarkit,fairmarkit.com,procurement-orchestration,,2
Allison Yount,SVP Partnerships & Corporate Strategy,Fairmarkit,fairmarkit.com,procurement-orchestration,,3
Celeste Ackert,Chief Financial & Operating Officer,Fairmarkit,fairmarkit.com,procurement-orchestration,,4
John Fleisher,Chief Revenue Officer,Fairmarkit,fairmarkit.com,procurement-orchestration,,5
Alan Holland,Founder & CEO,Keelvar,keelvar.com,procurement-orchestration,High-complexity sourcing bots (ocean freight/packaging/raw materials),1
Toby Hannon,VP of Sales,Keelvar,keelvar.com,procurement-orchestration,,2
Riona Hegarty,VP Marketing,Keelvar,keelvar.com,procurement-orchestration,,3
Jeff Gerber,CEO & Founder,Suplari,suplari.com,procurement-orchestration,Procurement intelligence; agentic workers over SAP/Coupa/Ariba,1
Mark Jancola,Chief Technology Officer,Suplari,suplari.com,procurement-orchestration,,2
Claude Mullins,Chief Revenue Officer,Suplari,suplari.com,procurement-orchestration,,3
Gopinath Polavarapu,Chief Digital & AI Officer,JAGGAER,jaggaer.com,procurement-orchestration,Enterprise S2P (~$500B+ GMV); JAI copilot + Catalyze layer,1
Jon Lawrence,Chief Product Officer,JAGGAER,jaggaer.com,procurement-orchestration,,2
Pascal d'Arc,Chief Strategic Officer,JAGGAER,jaggaer.com,procurement-orchestration,,3
Dimitri Koulouriotis,Senior Product Manager — AI,JAGGAER,jaggaer.com,procurement-orchestration,,4
Darius Contractor,Chief Product & Engineering Officer,Vendr,vendr.com,saas-procurement,AI negotiation agent (Ruth) on $15B+ pricing data; $216M+ raised,1
Jeff Swank,SVP Go-To-Market,Vendr,vendr.com,saas-procurement,,2
Vitali Edrenkine,SVP Growth Marketing,Vendr,vendr.com,saas-procurement,,3
Jason Quinn,CFO & COO,Vendr,vendr.com,saas-procurement,,4
Wendy Stockholm,Chief of Staff,Vendr,vendr.com,saas-procurement,,5
Kristy McCown,Head of Partnerships,Tropic,tropicapp.io,saas-procurement,Series B ($67M); procurement orchestration on $18B+ transaction data,1
Justin Etkin,Co-Founder & COO,Tropic,tropicapp.io,saas-procurement,,2
David Campbell,Co-Founder & CEO,Tropic,tropicapp.io,saas-procurement,,3
Patrick Unnold,SVP Customer Experience,Tropic,tropicapp.io,saas-procurement,,4
Srinivas Somayajula,Chief Product Officer,Tropic,tropicapp.io,saas-procurement,,5
Lars Haßler,VP Product,Sastrify,sastrify.com,saas-procurement,AI benchmarking + expert SaaS negotiation on $6B+ pricing data,1
Sven Lackinger,Co-Founder & CEO,Sastrify,sastrify.com,saas-procurement,,2
Maximilian Messing,Co-Founder & CTO,Sastrify,sastrify.com,saas-procurement,,3
Siddharth Sridharan,Co-Founder & CEO,Spendflo,spendflo.com,saas-procurement,AI-native procurement orchestration; Flo AI co-pilot for Slack ($15.4M Series A),1
Ajay Vardhan,Co-Founder & CTO,Spendflo,spendflo.com,saas-procurement,,2
Rajiv Ramanan,Co-Founder & Chief Revenue Officer,Spendflo,spendflo.com,saas-procurement,,3
Nivas Ravichandran,Head of Marketing,Spendflo,spendflo.com,saas-procurement,,4
Ronny Maate,Chief Product Officer,Vertice,vertice.one,saas-procurement,SaaS overspend tracking; Series C ($101M+ raised),1
Roy Tuvey,Co-Founder & Co-CEO,Vertice,vertice.one,saas-procurement,,2
Eldar Tuvey,Founder & CEO,Vertice,vertice.one,saas-procurement,,3
Ian Runyon,VP of Product,Zylo,zylo.com,saas-procurement,Shadow IT discovery via financial analysis; Series C ($71.8M+),1
Eric Christopher,Co-Founder & CEO,Zylo,zylo.com,saas-procurement,,2
Matt DiAntonio,Chief Product Officer,Zylo,zylo.com,saas-procurement,,3
Tim Horoho,Chief Technology Officer,Zylo,zylo.com,saas-procurement,,4
Cory Wheeler,Co-Founder & Chief Customer Officer,Zylo,zylo.com,saas-procurement,,5
Sean D. Murray,CEO,Productiv,productiv.com,saas-procurement,SaaS management with spend; Series C ($73M),1
Munish Gandhi,COO,Productiv,productiv.com,saas-procurement,,2
Ashish Aggarwal,CTO,Productiv,productiv.com,saas-procurement,,3
Nidhi Jain,CEO & Co-Founder,CloudEagle,cloudeagle.ai,saas-procurement,SaaS management + governance with 500+ integrations,1
Prasanna Naik,Co-Founder,CloudEagle,cloudeagle.ai,saas-procurement,,2
Swatantra Agrawal,Chief Architect,CloudEagle,cloudeagle.ai,saas-procurement,,3
Uri Haramati,CEO & Co-Founder,Torii,toriihq.com,saas-procurement,SaaS lifecycle automation; Series B ($65M),1
Uri Nativ,CPO & Co-Founder,Torii,toriihq.com,saas-procurement,,2
Tal Bereznitskey,CTO & Co-Founder,Torii,toriihq.com,saas-procurement,,3
Rachel Baizen MacIver,VP of Sales,Torii,toriihq.com,saas-procurement,,4
Ritish Reddy,CEO & Co-Founder,Zluri,zluri.com,saas-procurement,Identity governance + SaaS management; Series B ($32.5M),1
Chaithanya Yambari,CTO & Co-Founder,Zluri,zluri.com,saas-procurement,,2
Sethu Meenakshisundaram,Co-Founder,Zluri,zluri.com,saas-procurement,,3
Jitender Kumar,Head of Product and Engineering,Zluri,zluri.com,saas-procurement,,4
Patrick O'Connor,CEO & Founder,Gatekeeper,gatekeeperhq.com,saas-procurement,UK-based; centralized contract management,1
Sam Pavitt,VP of Product and Engineering,Gatekeeper,gatekeeperhq.com,saas-procurement,,2
Ian Bryce,VP Marketing,Gatekeeper,gatekeeperhq.com,saas-procurement,,3
Philip Picariello,CFO,Gatekeeper,gatekeeperhq.com,saas-procurement,,4
Cristina Vila Vives,CEO & Co-Founder,Cledara,cledara.com,saas-procurement,Subscription management for SaaS; Series A,1
Brad van Leeuwen,COO & Co-Founder,Cledara,cledara.com,saas-procurement,,2
Donal Quinn,Head of Product,Cledara,cledara.com,saas-procurement,,3
Paul Klein IV,Founder & CEO,Browserbase,browserbase.com,agent-infra,Managed cloud browser infra + Stagehand framework; Series B ($67.5M),1
Dominic Saadi,Founding Engineer,Browserbase,browserbase.com,agent-infra,,2
Walker Griggs,Technical Lead Core Team,Browserbase,browserbase.com,agent-infra,,3
Idan Raman,Co-Founder & CEO,Anchor Browser,anchorbrowser.io,agent-infra,Enterprise managed cloud browser with VPN for AI agents (Seed),1
Dor Dankner,Co-Founder & CTO,Anchor Browser,anchorbrowser.io,agent-infra,,2
Guy Ben Simhon,Co-Founder & VP R&D,Anchor Browser,anchorbrowser.io,agent-infra,,3
Hussien Hussien,Co-Founder & CEO,Steel.dev,steel.dev,agent-infra,Self-hostable browser infra; YC stage,1
Nasr Mohamed,Co-Founder & CTO,Steel.dev,steel.dev,agent-infra,,2
Dane Wilson,Founding Engineer,Steel.dev,steel.dev,agent-infra,,3
Suchintan Singh,Co-Founder,Skyvern,skyvern.com,agent-infra,Computer-vision browser automation; strong on insurance/government/procurement forms (YC S23),1
Shuchang Zheng,Co-Founder & CTO,Skyvern,skyvern.com,agent-infra,,2
Kerem Yilmaz,Co-Founder,Skyvern,skyvern.com,agent-infra,,3
Amir Ashkenazi,Founder & CEO,Airtop,airtop.ai,agent-infra,Cloud browser automation for AI web agents; serial entrepreneur (Adap.tv/Shopping.com),1
Daniel Shteremberg,Co-Founder & CTO,Airtop,airtop.ai,agent-infra,,2
Aidyl Kareh,Engineering Manager,Airtop,airtop.ai,agent-infra,,3
Joel Griffith,Founder & CEO,Browserless,browserless.io,agent-infra,Headless Chrome as a service; bootstrapped $4M ARR,1
Shri Sukhani,CEO & Co-Founder,Hyperbrowser,hyperbrowser.ai,agent-infra,Cloud browser infra with built-in stealth and CAPTCHA solving (YC),1
Akshay Shekhawat,Co-Founder & CTO,Hyperbrowser,hyperbrowser.ai,agent-infra,,2
Aurken Bilbao,CEO & Founder,ZenRows,zenrows.com,agent-infra,Web scraping API and browser infra for data extraction,1
Ander Rodriguez Varela,Co-Founder & CTO,ZenRows,zenrows.com,agent-infra,,2
Alina Sharapova,Director of Engineering,ZenRows,zenrows.com,agent-infra,,3
Tazz Parker,VP of Marketing,ZenRows,zenrows.com,agent-infra,,4
Caleb Peffer,CEO & Co-Founder,Firecrawl,firecrawl.dev,agent-infra,Web data layer; search/navigate/extract for AI applications (Series A $14.5M),1
Eric Ciarla,Co-Founder & CMO,Firecrawl,firecrawl.dev,agent-infra,,2
Nicolas Silberstein Camara,Co-Founder & CTO,Firecrawl,firecrawl.dev,agent-infra,,3
Jan Čurn,CEO & Co-Founder,Apify,apify.com,agent-infra,Web automation Actors with Skyfire integration; Series B 2024,1
Jan Zenisek,VP of Product,Apify,apify.com,agent-infra,,2
Jakub Balada,Co-Founder,Apify,apify.com,agent-infra,,3
Catherine Jue,CEO & Co-Founder,Kernel,kernel.sh,agent-infra,Agent runtime; YC S25; Series A $22M,1
Rafael Garcia,Co-Founder & CTO,Kernel,kernel.sh,agent-infra,,2
Erez Naveh,VP of Product,Bright Data,brightdata.com,agent-infra,Web data + proxy + browser; very large enterprise,1
Omri Orgad,Managing Director North America,Bright Data,brightdata.com,agent-infra,,2
Or Lenchner,CEO,Bright Data,brightdata.com,agent-infra,,3
Amir Sarhangi,CEO & Co-Founder,Skyfire,skyfire.xyz,agent-payments,Know Your Agent (KYA) protocol + tokenized identity/payment for AI agents ($9.5M),1
Craig DeWitt,Chief Product Officer & Co-Founder,Skyfire,skyfire.xyz,agent-payments,,2
Kevin Brown,Head of Public Relations,Skyfire,skyfire.xyz,agent-payments,,3
Colin Luce,CEO & Co-Founder,Basis Theory,basistheory.com,agent-payments,Tokenized payment credentials for agents; Series B+ ($33M+),1
Kevin Perko,Vice President of Product,Basis Theory,basistheory.com,agent-payments,,2
Chris Howard,Head of Partnerships,Basis Theory,basistheory.com,agent-payments,,3
Grant Crider,Head of Sales,Basis Theory,basistheory.com,agent-payments,,4
James Armstead,Chief Technology Officer,Basis Theory,basistheory.com,agent-payments,,5
Ayal Karmi,CEO & Co-Founder,Nekuda,nekuda.ai,agent-payments,Agent payment infra; Visa Intelligent Commerce partner ($5M Seed from Madrona/Amex/Visa),1
Barak Ben Rachel,CTO & Co-Founder,Nekuda,nekuda.ai,agent-payments,,2
Idan Levin,CPO & Co-Founder,Nekuda,nekuda.ai,agent-payments,,3
Johnathan McGowan,CEO & Co-Founder,PayOS,payos.ai,agent-payments,Visa Intelligent Commerce partner; emerged from stealth 2025,1
Aparna Krishnan Girish,CPO & Co-Founder,PayOS,payos.ai,agent-payments,,2
